CoapplicantIncome,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_ID,Education,Married,Gender,Dependents,Self_Employed,source,collected_at
2254.0,3200,126.0,0.0,Urban,LP001228,Not Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,10750,312.0,1.0,Urban,LP001233,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,7100,125.0,1.0,Urban,LP001238,Not Graduate,Yes,Male,3+,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4300,136.0,0.0,Semiurban,LP001241,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3066.0,3208,172.0,1.0,Urban,LP001243,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1875.0,1875,97.0,1.0,Semiurban,LP001245,Not Graduate,Yes,Male,2,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3500,81.0,1.0,Semiurban,LP001248,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4755,95.0,0.0,Semiurban,LP001250,Not Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1774.0,5266,187.0,1.0,Semiurban,LP001253,Graduate,Yes,Male,3+,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3750,113.0,1.0,Urban,LP001255,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
4750.0,3750,176.0,1.0,Urban,LP001256,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3022.0,1000,110.0,1.0,Urban,LP001259,Graduate,Yes,Male,1,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
4000.0,3167,180.0,0.0,Semiurban,LP001263,Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2166.0,3333,130.0,,Semiurban,LP001264,Not Graduate,Yes,Male,3+,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3846,111.0,1.0,Semiurban,LP001265,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,2395,,1.0,Semiurban,LP001266,Graduate,Yes,Male,1,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
1881.0,1378,167.0,1.0,Urban,LP001267,Graduate,Yes,Female,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2250.0,6000,265.0,,Semiurban,LP001273,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3988,50.0,1.0,Urban,LP001275,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2531.0,2366,136.0,1.0,Semiurban,LP001279,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2000.0,3333,99.0,,Semiurban,LP001280,Not Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2118.0,2500,104.0,1.0,Semiurban,LP001282,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,8566,210.0,1.0,Urban,LP001289,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
4167.0,5695,175.0,1.0,Semiurban,LP001310,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2900.0,2958,131.0,1.0,Semiurban,LP001316,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
5654.0,6250,188.0,1.0,Semiurban,LP001318,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1820.0,3273,81.0,1.0,Urban,LP001319,Not Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4133,122.0,1.0,Semiurban,LP001322,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3620,25.0,1.0,Semiurban,LP001325,Not Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,6782,,,Urban,LP001326,Graduate,No,Male,0,,hf:LoanApprovalPrediction,2026-03-29_00-43
2302.0,2484,137.0,1.0,Semiurban,LP001327,Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
997.0,1977,50.0,1.0,Semiurban,LP001333,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4188,115.0,1.0,Semiurban,LP001334,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3541.0,1759,131.0,1.0,Semiurban,LP001343,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3263.0,4288,133.0,1.0,Urban,LP001345,Not Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3806.0,4843,151.0,1.0,Semiurban,LP001349,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,13650,,1.0,Urban,LP001350,Graduate,Yes,Male,,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3583.0,4652,,1.0,Semiurban,LP001356,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
754.0,3816,160.0,1.0,Urban,LP001357,Graduate,,Male,,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1030.0,3052,100.0,1.0,Urban,LP001367,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1126.0,11417,225.0,1.0,Urban,LP001369,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,7333,120.0,1.0,Rural,LP001370,Not Graduate,No,Male,0,,hf:LoanApprovalPrediction,2026-03-29_00-43
3600.0,3800,216.0,0.0,Urban,LP001379,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
754.0,2071,94.0,1.0,Semiurban,LP001384,Not Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,5316,136.0,1.0,Urban,LP001385,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2333.0,2929,139.0,1.0,Semiurban,LP001387,Graduate,Yes,Female,0,,hf:LoanApprovalPrediction,2026-03-29_00-43
4114.0,3572,152.0,0.0,Rural,LP001391,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,7451,,1.0,Semiurban,LP001392,Graduate,No,Female,1,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,5050,118.0,1.0,Semiurban,LP001398,Graduate,No,Male,0,,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,14583,185.0,1.0,Rural,LP001401,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2283.0,3167,154.0,1.0,Semiurban,LP001404,Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1398.0,2214,85.0,,Urban,LP001405,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2142.0,5568,175.0,1.0,Rural,LP001421,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,10408,259.0,1.0,Urban,LP001422,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2667.0,5667,180.0,1.0,Rural,LP001426,Graduate,Yes,Male,,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4166,44.0,1.0,Semiurban,LP001430,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
8980.0,2137,137.0,0.0,Semiurban,LP001431,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,2957,81.0,1.0,Semiurban,LP001432,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2014.0,4300,194.0,1.0,Rural,LP001439,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3692,93.0,,Rural,LP001443,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,23803,370.0,1.0,Rural,LP001448,Graduate,Yes,,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1640.0,3865,,1.0,Rural,LP001449,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3850.0,10513,160.0,0.0,Urban,LP001451,Graduate,Yes,Male,1,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
2569.0,6080,182.0,,Rural,LP001465,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,20166,650.0,,Urban,LP001469,Graduate,No,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
1929.0,2014,74.0,1.0,Urban,LP001473,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,2718,70.0,1.0,Semiurban,LP001478,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3459,25.0,1.0,Semiurban,LP001482,Graduate,Yes,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4895,102.0,1.0,Semiurban,LP001487,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
7750.0,4000,290.0,1.0,Semiurban,LP001488,Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4583,84.0,1.0,Rural,LP001489,Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3500.0,3316,88.0,1.0,Urban,LP001491,Graduate,Yes,Male,2,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,14999,242.0,0.0,Semiurban,LP001492,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1430.0,4200,129.0,1.0,Rural,LP001493,Not Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2083.0,5042,185.0,1.0,Rural,LP001497,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,5417,168.0,1.0,Urban,LP001498,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,6950,175.0,1.0,Semiurban,LP001504,Graduate,No,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
2034.0,2698,122.0,1.0,Semiurban,LP001507,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,11757,187.0,1.0,Urban,LP001508,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
4486.0,2330,100.0,1.0,Semiurban,LP001514,Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,14866,70.0,1.0,Urban,LP001516,Graduate,Yes,Female,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1425.0,1538,30.0,1.0,Urban,LP001518,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1666.0,10000,225.0,1.0,Rural,LP001519,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
830.0,4860,125.0,1.0,Semiurban,LP001520,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,6277,118.0,0.0,Rural,LP001528,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3750.0,2577,152.0,1.0,Rural,LP001529,Graduate,Yes,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,9166,244.0,1.0,Urban,LP001531,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,2281,113.0,1.0,Rural,LP001532,Not Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3254,50.0,1.0,Urban,LP001535,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,39999,600.0,0.0,Semiurban,LP001536,Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,6000,160.0,,Rural,LP001541,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,9538,187.0,1.0,Urban,LP001543,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2083.0,2980,120.0,1.0,Rural,LP001546,Graduate,No,Male,0,,hf:LoanApprovalPrediction,2026-03-29_00-43
5625.0,4583,255.0,1.0,Semiurban,LP001552,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1041.0,1863,98.0,1.0,Semiurban,LP001560,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,7933,275.0,1.0,Urban,LP001562,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1280.0,3089,121.0,0.0,Semiurban,LP001565,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1447.0,4167,158.0,1.0,Rural,LP001570,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,9323,75.0,1.0,Urban,LP001572,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3166.0,3707,182.0,1.0,Rural,LP001574,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4583,112.0,1.0,Rural,LP001577,Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3333.0,2439,129.0,1.0,Rural,LP001578,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,2237,63.0,0.0,Semiurban,LP001579,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,8000,200.0,1.0,Semiurban,LP001580,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1769.0,1820,95.0,1.0,Rural,LP001581,Not Graduate,Yes,Male,0,,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,51763,700.0,1.0,Urban,LP001585,Graduate,Yes,,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3522,81.0,1.0,Rural,LP001586,Not Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
5625.0,5708,187.0,1.0,Semiurban,LP001594,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
736.0,4344,87.0,1.0,Semiurban,LP001603,Not Graduate,Yes,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
1964.0,3497,116.0,1.0,Rural,LP001606,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1619.0,2045,101.0,1.0,Rural,LP001608,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
11300.0,5516,495.0,0.0,Semiurban,LP001610,Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3750,116.0,1.0,Semiurban,LP001616,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1451.0,2333,102.0,0.0,Urban,LP001630,Not Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
7250.0,6400,180.0,0.0,Urban,LP001633,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
5063.0,1916,67.0,,Rural,LP001634,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4600,73.0,1.0,Semiurban,LP001636,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,33846,260.0,1.0,Semiurban,LP001637,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3625,108.0,1.0,Semiurban,LP001639,Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
4750.0,39147,120.0,1.0,Semiurban,LP001640,Graduate,Yes,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,2178,66.0,0.0,Rural,LP001641,Graduate,Yes,Male,1,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
2138.0,2383,58.0,,Rural,LP001643,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
5296.0,674,168.0,1.0,Rural,LP001644,Graduate,Yes,,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,9328,188.0,1.0,Rural,LP001647,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4885,48.0,1.0,Rural,LP001653,Not Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,12000,164.0,1.0,Semiurban,LP001656,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,6033,160.0,1.0,Urban,LP001657,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3858,76.0,1.0,Semiurban,LP001658,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4191,120.0,1.0,Rural,LP001664,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2583.0,3125,170.0,1.0,Semiurban,LP001665,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3750.0,8333,187.0,1.0,Rural,LP001666,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2365.0,1907,120.0,1.0,Urban,LP001669,Not Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2816.0,3416,113.0,,Semiurban,LP001671,Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,11000,83.0,1.0,Urban,LP001673,Graduate,No,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
2500.0,2600,90.0,1.0,Semiurban,LP001674,Not Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4923,166.0,0.0,Semiurban,LP001677,Graduate,No,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3992,,1.0,Urban,LP001682,Not Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1083.0,3500,135.0,1.0,Urban,LP001688,Not Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3917,124.0,1.0,Semiurban,LP001691,Not Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4408,120.0,1.0,Semiurban,LP001692,Not Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3244,80.0,1.0,Urban,LP001693,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
