2026-03-28 22:14:52,583 | INFO | __main__ | Loading dataset 'SivaMallikarjun/Home-Loan-Approval-Dataset' from Hugging Face
2026-03-28 23:31:41,422 | INFO | skills.annotation.scripts.auto_label | Auto-labeled dataset saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/auto_labeled_dataset.csv (rows=3611)
2026-03-28 23:34:15,129 | INFO | skills.data_collection.scripts.download_hf | Loading dataset '13nishit/LoanApprovalPrediction' from Hugging Face
2026-03-28 23:34:17,605 | INFO | skills.data_collection.scripts.download_hf | Saved 614 rows -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check_2026-03-28_23-34/data/hf_13nishit_LoanApprovalPrediction_train.csv
2026-03-28 23:34:17,619 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check_2026-03-28_23-34/data/hf_13nishit_LoanApprovalPrediction_train.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check_2026-03-28_23-34/data/unified_1.csv (rows=614)
2026-03-28 23:34:17,619 | INFO | skills.data_collection.scripts.download_hf | Loading dataset 'shubhamdatavtar/loan-approval' from Hugging Face
2026-03-28 23:34:19,609 | INFO | skills.data_collection.scripts.download_hf | Saved 3422 rows -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check_2026-03-28_23-34/data/hf_shubhamdatavtar_loan-approval_train.csv
2026-03-28 23:34:19,627 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check_2026-03-28_23-34/data/hf_shubhamdatavtar_loan-approval_train.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check_2026-03-28_23-34/data/unified_2.csv (rows=3342)
2026-03-28 23:34:19,656 | INFO | skills.data_collection.scripts.merge_datasets | Merged 2 files -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check_2026-03-28_23-34/data/merged_dataset.csv (rows=3956)
2026-03-28 23:34:20,277 | INFO | skills.data_collection.scripts.generate_eda_report | EDA report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check_2026-03-28_23-34/reports/eda_report.html
2026-03-28 23:35:15,208 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/api_api_zenodo.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/unified_1.csv (rows=10)
2026-03-28 23:35:16,644 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/api_api_zenodo.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/unified_2.csv (rows=10)
2026-03-28 23:35:19,590 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/api_api_zenodo.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/unified_3.csv (rows=10)
2026-03-28 23:35:25,253 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/api_api_zenodo.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/unified_4.csv (rows=10)
2026-03-28 23:35:25,255 | INFO | skills.data_collection.scripts.download_hf | Loading dataset '13nishit/LoanApprovalPrediction' from Hugging Face
2026-03-28 23:35:27,506 | INFO | skills.data_collection.scripts.download_hf | Saved 614 rows -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/hf_13nishit_LoanApprovalPrediction_train.csv
2026-03-28 23:35:27,518 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/hf_13nishit_LoanApprovalPrediction_train.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/unified_5.csv (rows=614)
2026-03-28 23:35:27,542 | INFO | skills.data_collection.scripts.merge_datasets | Merged 5 files -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/data/merged_dataset.csv (rows=624)
2026-03-28 23:35:28,231 | INFO | skills.data_collection.scripts.generate_eda_report | EDA report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check2_2026-03-28_23-35/reports/eda_report.html
2026-03-28 23:35:53,582 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check3_2026-03-28_23-35/data/api_api_zenodo.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check3_2026-03-28_23-35/data/unified_1.csv (rows=10)
2026-03-28 23:35:53,583 | INFO | skills.data_collection.scripts.download_hf | Loading dataset '13nishit/LoanApprovalPrediction' from Hugging Face
2026-03-28 23:35:55,933 | INFO | skills.data_collection.scripts.download_hf | Saved 614 rows -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check3_2026-03-28_23-35/data/hf_13nishit_LoanApprovalPrediction_train.csv
2026-03-28 23:35:55,944 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check3_2026-03-28_23-35/data/hf_13nishit_LoanApprovalPrediction_train.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check3_2026-03-28_23-35/data/unified_2.csv (rows=614)
2026-03-28 23:35:55,960 | INFO | skills.data_collection.scripts.merge_datasets | Merged 2 files -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check3_2026-03-28_23-35/data/merged_dataset.csv (rows=624)
2026-03-28 23:35:56,438 | INFO | skills.data_collection.scripts.generate_eda_report | EDA report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/source-check3_2026-03-28_23-35/reports/eda_report.html
2026-03-28 23:57:21,086 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/data/api_api_zenodo.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/data/unified_1.csv (rows=10)
2026-03-28 23:57:21,087 | INFO | skills.data_collection.scripts.download_hf | Loading dataset '13nishit/LoanApprovalPrediction' from Hugging Face
2026-03-28 23:57:25,160 | INFO | skills.data_collection.scripts.download_hf | Saved 614 rows -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/data/hf_13nishit_LoanApprovalPrediction_train.csv
2026-03-28 23:57:25,186 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/data/hf_13nishit_LoanApprovalPrediction_train.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/data/unified_2.csv (rows=614)
2026-03-28 23:57:25,204 | INFO | skills.data_collection.scripts.merge_datasets | Merged 2 files -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/data/merged_dataset.csv (rows=624)
2026-03-28 23:57:25,759 | INFO | skills.data_collection.scripts.generate_eda_report | EDA report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/reports/eda_report.html
2026-03-28 23:58:36,314 | INFO | skills.data_quality.scripts.detect_issues | Quality reports saved to /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/reports
2026-03-28 23:58:36,348 | INFO | skills.data_quality.scripts.fix_data | Cleaned data with 'smart' strategy: /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/data/merged_dataset.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/data/cleaned_dataset.csv (rows=588)
2026-03-28 23:58:36,418 | INFO | skills.data_quality.scripts.compare_datasets | Comparison report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/reports/quality_comparison.md
2026-03-28 23:58:57,901 | INFO | skills.annotation.scripts.auto_label | Auto-labeled dataset saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_23-55/data/auto_labeled_dataset.csv (rows=588)
2026-03-29 00:35:47,460 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/data/api_api_zenodo.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/data/unified_1.csv (rows=10)
2026-03-29 00:35:47,461 | INFO | skills.data_collection.scripts.download_hf | Loading dataset '13nishit/LoanApprovalPrediction' from Hugging Face
2026-03-29 00:36:13,719 | INFO | skills.data_collection.scripts.download_hf | Saved 614 rows -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/data/hf_13nishit_LoanApprovalPrediction_train.csv
2026-03-29 00:36:13,730 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/data/hf_13nishit_LoanApprovalPrediction_train.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/data/unified_2.csv (rows=614)
2026-03-29 00:36:13,743 | INFO | skills.data_collection.scripts.merge_datasets | Merged 2 files -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/data/merged_dataset.csv (rows=624)
2026-03-29 00:36:14,281 | INFO | skills.data_collection.scripts.generate_eda_report | EDA report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/reports/eda_report.html
2026-03-29 00:38:02,854 | INFO | skills.data_quality.scripts.detect_issues | Quality reports saved to /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/reports
2026-03-29 00:38:02,880 | INFO | skills.data_quality.scripts.fix_data | Cleaned data with 'smart' strategy: /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/data/merged_dataset.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/data/cleaned_dataset.csv (rows=587)
2026-03-29 00:38:02,944 | INFO | skills.data_quality.scripts.compare_datasets | Comparison report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/reports/quality_comparison.md
2026-03-29 00:38:53,329 | INFO | skills.annotation.scripts.auto_label | Auto-labeled dataset saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-prediction_2026-03-29_00-35/data/auto_labeled_dataset.csv (rows=587)
2026-03-29 00:44:21,241 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/data/api_api_zenodo.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/data/unified_1.csv (rows=10)
2026-03-29 00:44:21,242 | INFO | skills.data_collection.scripts.download_hf | Loading dataset '13nishit/LoanApprovalPrediction' from Hugging Face
2026-03-29 00:44:23,853 | INFO | skills.data_collection.scripts.download_hf | Saved 614 rows -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/data/hf_13nishit_LoanApprovalPrediction_train.csv
2026-03-29 00:44:23,864 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/data/hf_13nishit_LoanApprovalPrediction_train.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/data/unified_2.csv (rows=614)
2026-03-29 00:44:23,881 | INFO | skills.data_collection.scripts.merge_datasets | Merged 2 files -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/data/merged_dataset.csv (rows=624)
2026-03-29 00:44:24,435 | INFO | skills.data_collection.scripts.generate_eda_report | EDA report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/reports/eda_report.html
2026-03-29 00:44:52,465 | INFO | skills.data_quality.scripts.detect_issues | Quality reports saved to /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/reports
2026-03-29 00:44:52,497 | INFO | skills.data_quality.scripts.fix_data | Cleaned data with 'smart' strategy: /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/data/merged_dataset.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/data/cleaned_dataset.csv (rows=588)
2026-03-29 00:44:52,561 | INFO | skills.data_quality.scripts.compare_datasets | Comparison report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/reports/quality_comparison.md
2026-03-29 00:45:16,670 | INFO | skills.annotation.scripts.auto_label | Auto-labeled dataset saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortage-risk-predection_2026-03-29_00-43/data/auto_labeled_dataset.csv (rows=588)
